Customer_ID,Customer_Name,Customer_Type_Of_Channel,Customer_City,Customer_Region,percteage_gap_in_Revenue_Between_Recommendation_and_Actual_Orders,percteage_gap_in_Quantiy_Between_Recommendation_and_Actual_Orders,percteage_gap_in_Number_OF_SKU_Recommendation_and_Actual_Orders,Number_of_days_since_last_order,Total_Net_Revenue_of_Orders_in_Last_30Days,Unique_SKU_per_Order_in_Last_30_days,Volume_of_BEER_per_Order_in_Last_6_Months,Average_Monthly_Net_Revenue_of_Orders_in_Last_6_Months,Average_Unique_SKU_per_Order_in_Last_6_Months,Average_volume_of_BEER_per_Order_in_Last_6_Months
0010Y00001aLGv8QAG,Equator annex,Mainstream,East,East,95.39249728885991,93.96375327290619,10.63829787234043,13,32108.4284728008,6,0.1,531927.0388448747,6.714285714285714,1.7426
0010Y00001aLGxdQAG,Tugonzagane bar.  MabaaleA2,Low End,West,West,60.92026627772943,18.921242073042407,18.181818181818173,1,490221.814259292,6,1.6660000000000001,604624.2280881067,7.333333333333333,2.0615
0010Y00001aLI3UQAW,New Tolino C1,Mainstream,West,West,78.43403227248022,72.15197144707066,28.57142857142857,14,30000.6998673575,1,0.125,107730.06717634138,1.4,0.325
0010Y00001aLI6dQAG,Landon pub C1,Mainstream,West,West,93.26266114924337,88.62461566869409,18.91891891891892,10,297460.6917802468,5,0.93,2614950.696317245,6.166666666666667,8.767366666666668
0010Y00001aLIAAQA4,Bakhita Hotel C1,Mainstream,West,West,58.31514309364743,14.929012196223312,7.692307692307679,22,862162.3733034976,4,2.91,1013462.2808097008,4.333333333333333,3.4035000000000006
0010Y00001aLIAQQA4,Bricks Corner B1,Mainstream,masaka,West,83.42591088804761,57.37495691656627,33.33333333333333,25,100222.7143512563,2,0.325,235126.3649284333,3.0,0.7485
0010Y00001aLIGWQA4,cadan  C1,Mainstream,West,West,99.13241554465895,98.89787285956314,41.935483870967744,2,206645.31037833524,3,0.6320000000000001,18749679.85058636,5.166666666666667,61.047333333333334
0010Y00001aLIHtQAO,Texas B1,Mainstream,West,West,84.96009485258028,76.63162513898888,7.894736842105274,9,617033.5855221754,5,1.8980000000000001,2640464.2564668157,5.428571428571429,8.788
0010Y00001aLIJkQAO,Bistro Lounge B1,High End,Kampala,East,52.17613922834764,36.799058324801145,9.090909090909093,30,181793.07350101473,4,0.541,287642.9823392228,4.4,0.79212
0010Y00001aLIKyQAO,Divino Lounge & Bar C2,High End,East,East,53.3615635763041,46.29582647610413,42.857142857142854,17,169549.8786714498,2,0.5,315710.80522449146,3.5,0.8930666666666668
0010Y00001aLIlVQAW,philo leisure garden B1,High End,West,West,90.47355141081995,73.86425862034847,50.0,11,32108.4284728008,1,0.1,122852.56425822843,2.0,0.35044
0010Y00001aLItRQAW,Alfred         kween C1,Reseller,East,East,78.32389757580026,66.68987068326854,77.41935483870968,4,610060.1409832152,1,1.9000000000000001,1831455.3365506933,4.428571428571429,6.591142857142858
0010Y00001aLIw1QAG,Eden nest B2,Low End,East,East,78.78093753932426,52.47456814990127,43.24324324324324,19,219565.847145668,3,0.8,461996.53237914114,5.285714285714286,1.618857142857143
0010Y00001aLIybQAG,Harrient's barB1,Low End,East,East,69.41467305817342,32.11056908933209,19.23076923076924,15,214519.84064088727,3,0.85,315984.149172148,3.7142857142857144,1.129857142857143
